ts,traffic,destination,median,percentile99,maximum
2017-10-05T11:00:00Z,external,/bigdata/ldf,9,144,146
2017-10-05T11:00:00Z,external,/sparql,3,24,59
2017-10-05T11:00:00Z,internal,/sparql,18,43,55
2017-10-05T12:00:00Z,external,/bigdata/ldf,12,137,138
2017-10-05T12:00:00Z,external,/sparql,6,37,97
2017-10-05T12:00:00Z,internal,/sparql,21,51,61
2017-10-05T13:00:00Z,external,/bigdata/ldf,10,138,140
2017-10-05T13:00:00Z,external,/sparql,7,159,237
2017-10-05T13:00:00Z,internal,/sparql,22,48,57
2017-10-05T14:00:00Z,external,/bigdata/ldf,12,149,150
2017-10-05T14:00:00Z,external,/sparql,6,180,239
2017-10-05T14:00:00Z,internal,/sparql,17,43,56
2017-10-05T15:00:00Z,external,/bigdata/ldf,17,143,144
2017-10-05T15:00:00Z,external,/sparql,8,34,70
2017-10-05T15:00:00Z,internal,/sparql,17,47,54
2017-10-05T16:00:00Z,external,/bigdata/ldf,10,143,144
2017-10-05T16:00:00Z,external,/sparql,7,35,102
2017-10-05T16:00:00Z,internal,/sparql,18,52,63
2017-10-05T17:00:00Z,external,/bigdata/ldf,12,146,148
2017-10-05T17:00:00Z,external,/sparql,7,30,63
2017-10-05T17:00:00Z,internal,/sparql,16,48,59
2017-10-05T18:00:00Z,external,/bigdata/ldf,15,140,144
2017-10-05T18:00:00Z,external,/sparql,5,32,61
2017-10-05T18:00:00Z,internal,/sparql,15,39,48
2017-10-05T19:00:00Z,external,/bigdata/ldf,12,146,148
2017-10-05T19:00:00Z,external,/sparql,5,33,59
2017-10-05T19:00:00Z,internal,/bigdata/ldf,1,1,1
2017-10-05T19:00:00Z,internal,/sparql,15,40,53
2017-10-05T20:00:00Z,external,/bigdata/ldf,9,144,145
2017-10-05T20:00:00Z,external,/sparql,8,48,69
2017-10-05T20:00:00Z,internal,/sparql,15,41,56
2017-10-05T21:00:00Z,external,/bigdata/ldf,13,142,144
2017-10-05T21:00:00Z,external,/sparql,8,54,112
2017-10-05T21:00:00Z,internal,/bigdata/ldf,1,1,1
2017-10-05T21:00:00Z,internal,/sparql,16,42,50
2017-10-05T22:00:00Z,external,/bigdata/ldf,16,139,142
2017-10-05T22:00:00Z,external,/sparql,8,37,80
2017-10-05T22:00:00Z,internal,/bigdata/ldf,1,1,1
2017-10-05T22:00:00Z,internal,/sparql,17,49,61
2017-10-05T23:00:00Z,external,/bigdata/ldf,9,151,153
2017-10-05T23:00:00Z,external,/sparql,7,35,88
2017-10-05T23:00:00Z,internal,/sparql,19,58,76
2017-10-06T00:00:00Z,external,/sparql,9,29,56
2017-10-06T00:00:00Z,internal,/bigdata/ldf,9,147,148
2017-10-06T00:00:00Z,internal,/sparql,22,70,82
2017-10-06T01:00:00Z,external,/bigdata/ldf,12,137,138
2017-10-06T01:00:00Z,external,/sparql,9,43,63
2017-10-06T01:00:00Z,internal,/bigdata/ldf,2,4,4
2017-10-06T01:00:00Z,internal,/sparql,18,50,58
2017-10-06T02:00:00Z,external,/bigdata/ldf,16,139,142
2017-10-06T02:00:00Z,external,/sparql,5,23,61
2017-10-06T02:00:00Z,internal,/bigdata/ldf,2,4,4
2017-10-06T02:00:00Z,internal,/sparql,18,49,58
2017-10-06T03:00:00Z,external,/bigdata/ldf,10,116,118
2017-10-06T03:00:00Z,external,/sparql,5,20,35
2017-10-06T03:00:00Z,internal,/bigdata/ldf,4,5,5
2017-10-06T03:00:00Z,internal,/sparql,19,44,51
2017-10-06T04:00:00Z,external,/bigdata/ldf,16,116,119
2017-10-06T04:00:00Z,external,/sparql,4,39,127
2017-10-06T04:00:00Z,internal,/bigdata/ldf,4,5,5
2017-10-06T04:00:00Z,internal,/sparql,28,73,86
2017-10-06T05:00:00Z,external,/bigdata/ldf,18,139,140
