date,traffic,agent_type,agent_type_plus,requests,lower10_ttfb,lower25_ttfb,median_ttfb,upper75_ttfb,upper95_ttfb,upper99_ttfb,total_ttfb
2017-06-10,external,spider,bot,4382471,0.00011728550147371227,0.00011728550147371227,0.02374869924651502,0.09760875093772585,0.15124431831028937,0.3802144177930675,311902.81319402036
2017-06-11,internal,user,user,2,0.397914,0.397914,0.397914,0.4192755,0.4320924,0.43978254,0.838551
2017-10-28,internal,spider,bot,1217941,0.015883824685187616,0.01679091856187242,0.019029479587770157,0.05950237502225957,0.08025466773666494,1.181949475000017,102816.00970099977
2017-08-02,internal,user,bot,1098306,8.813305375794728e-05,8.813305375794728e-05,0.015536061700255116,0.01740793725877385,0.02196771458204332,0.15360146499999763,19126.496519000724
2017-06-06,internal,user,bot,15879,0.020638200000000002,0.0271333125,0.03386816666666667,0.038999015625,0.04454040000000001,0.3438804899999986,1420.8946199999998
2017-10-30,internal,user,user,755,0.0222955,0.028538499999999998,0.031600500000000004,0.0627925,0.18837749999999998,6.464358200000198,328.896794
2017-09-27,internal,spider,bot,1211829,0.015986207421083993,0.017061631464665022,0.020805229784626962,0.05390091144647022,0.0855623614268303,2.425046225199997,142929.75449799988
2017-05-13,internal,user,bot,3356,9e-05,0.000101,0.00075,0.027589,0.0869862000000002,13.737039640000031,2113.454677
2017-08-25,external,spider,bot,394988,0.00010217965632526868,0.0008131677136989378,0.08506009969563669,0.11966320402155801,0.19338325384349037,1.2576923199999994,79891.93558200027
2017-08-26,internal,user,user,2,0.516175,0.516175,0.516175,0.707809,0.8227894,0.8917776399999999,1.415618
2017-10-25,internal,user,bot,90614,9.194308390587476e-05,0.0127665,0.016049296477683,0.01819602276643991,0.028401525000000014,0.21648004,2693.850583
2017-06-29,external,spider,bot,1089569,0.00033108679443048225,0.00033108679443048225,0.10020867248354907,0.1371164214584215,0.22440296712921975,2.7807531766667455,261031.9463970022
2017-11-05,external,spider,bot,827810,0.00011491483469544669,0.00011491483469544669,0.00011491483469544669,0.09128540203915084,0.17840923651585106,6.9270488181250025,215460.0692510018
2017-11-06,internal,user,user,761,0.019325099999999998,0.028605000000000002,0.0309645,0.05881475,0.20600079999999998,6.048258379999959,341.9566720000001
2017-05-01,internal,user,user,2,0.219707,0.219707,0.219707,0.251123,0.2699726,0.28128235999999995,0.502246
2017-10-12,external,spider,bot,896467,0.0001331427473783561,0.0002952186225365901,0.07649041484100273,0.12665730850105714,0.25090874941699404,5.386362349999979,195801.87793200125
2017-09-24,internal,user,bot,971474,9.187114981576621e-05,9.187114981576621e-05,0.01578583765881019,0.018570366880002718,0.028617485926366586,0.2310191992857144,24714.02803600002
2017-10-13,internal,user,user,3,0.015962,0.015962,0.30286899999999994,0.856873,1.3376476000000004,1.62611236,2.263902
2017-07-28,internal,user,bot,1319046,9.004639992614679e-05,9.004639992614679e-05,0.015642534464308924,0.017998533621038183,0.025385729968516714,0.19754611740000025,29218.580686999896
2017-08-22,external,user,bot,124288,0.0002151468999497172,0.09973926097345998,0.10531941968375616,0.12144814272488104,0.22268439166666656,12.444672399999918,65872.458033
2017-08-08,external,spider,bot,656193,0.014416863784869966,0.027551507898777465,0.0804516626240464,0.11445041001120716,0.18430067108326575,1.0565139174999962,99277.44193500017
2017-06-26,external,user,bot,74540,9.740045916694005e-05,0.0817892451804251,0.09948255354345593,0.10475622674669867,0.1657941388888889,1.0951472000000242,11033.269655999984
2017-08-09,internal,user,user,2,0.575976,0.575976,0.575976,0.9051935,1.1027239999999998,1.2212423,1.810387
2017-09-11,external,spider,bot,1593820,0.0001329838317572794,0.015825724849062434,0.02037703797790031,0.09983102770569618,0.21184332207301657,0.6171185023356015,155032.70577599967
2017-10-08,internal,user,bot,334276,8.364912426327126e-05,0.00010996602868678137,0.015497638443481298,0.017176475019623008,0.02178187675863531,0.09127203111111108,6274.390941000049
2017-11-02,external,user,bot,291176,8.640547420921832e-05,8.640547420921832e-05,0.0001778967930638024,0.02089403537549226,0.03113529191338007,0.2808871999999992,12801.502821000398
2017-09-12,internal,user,user,2,0.786848,0.786848,0.786848,1.1586889999999999,1.3817936,1.51565636,2.3173779999999997
2017-04-30,internal,spider,bot,506757,0.015220628127809934,0.016150600648452845,0.02336304232459146,0.060950021074513284,0.08021483713508513,1.5287646183333323,58900.732522999926
2017-07-15,external,spider,bot,336304,0.00011842669393090336,0.00011842669393090336,0.0005603151718278728,0.06755605899908174,0.1814592949834712,13.596681000000045,130862.2040409997
2017-07-16,internal,user,user,2,0.437253,0.437253,0.437253,0.5540525000000001,0.6241322,0.66618002,1.1081050000000001
2017-08-10,external,user,user,59424,0.0006219977288497121,0.020278173553719008,0.0988954905962385,0.10528529136316336,0.1825421999999999,4.030539400000074,17438.158071999995
2017-05-19,external,spider,bot,5935029,0.0001894078246123124,0.0001894078246123124,0.020357771609163494,0.08661207875378048,0.13771042416297172,0.3884175098436856,533778.7283480138
2017-06-14,external,user,user,56239,0.016325069984161854,0.09067279574074073,0.10202577921247791,0.11115383179012346,0.22723662499999997,3.959542960000001,17353.487891
2017-09-07,internal,user,bot,977944,8.939911261356435e-05,0.00011613049732830525,0.016413071720562913,0.018861930152762094,0.027747801341258937,0.19582133066666554,23733.01081200002
2017-08-05,external,user,bot,10688,0.000109,0.000793,0.086361,0.136313,0.21621480000000015,5.781146960000041,4025.659144000001
2017-05-21,external,user,user,44700,0.08355675,0.09955489582918686,0.10262416594040451,0.13108144897959184,0.255198,10.642968,23840.460668000003
2017-06-09,external,user,bot,473356,0.0805023283077381,0.08201751449559495,0.09074777893812153,0.0957965363010672,0.11060591179263952,0.28526267000000005,47816.13036199999
2017-07-12,external,user,bot,127794,0.00010437587557222439,0.006978752427184466,0.0498792,0.11500506122448978,0.13891761983471076,1.3205596599999418,20800.520392999948
2017-05-16,external,user,bot,36564,0.00011960025277727194,0.053624,0.10564786000000001,0.13355290909090908,0.14878696666666666,8.653789000000053,9691.036838000005
